subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues,mi_early_late_bits,bins_early,bins_late,resample_n
4,dlpfc,sham,early,0.015,0.08,0.4058399702851053,50.00000000000001,13.295007444721634,0.264510495969136,23.42731418014249,56.7845003803016,0.6937238973549973,0.0681215605353944,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-04_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.6664471238434182,12,8,128
4,m1,active,early,0.015,0.08,0.4188992060930172,70.46938499814361,19.17951447792272,-0.2219431482731874,20.000000000000004,52.96128329389784,0.4480118001554538,0.0914519413321039,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-04_M1_active_ave.fif,M1_active,True,,0.7474849015892573,9,8,128
4,m1,sham,early,0.015,0.08,0.3868898340203452,70.52630806097737,18.733212529100584,-0.2144940200694675,20.00000000002088,52.82179058621127,0.4125590870345914,0.094343096691937,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-04_M1_sham_ave.fif,M1_sham,True,,0.7588233876456998,9,8,128
4,ppc,active,early,0.015,0.08,0.4513787922386136,75.37868778940609,19.54181584797303,-0.2407880683101287,20.000000000000004,53.21911842860668,0.5006550639673097,0.0869817932911206,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-04_PPC_active_ave.fif,PPC_active,True,,0.6628364290807762,8,8,128
4,ppc,sham,early,0.015,0.08,0.4508428389217702,107.19894657456383,24.999999999999982,0.292038082920406,20.00000000045296,62.44934401045131,0.5564616873573796,0.0819772984690813,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-04_PPC_sham_ave.fif,PPC_sham,True,,0.6235664124294731,8,8,128
5,dlpfc,active,early,0.015,0.08,0.407570939800039,50.00000000000001,14.936605441735278,0.2666963717863659,20.000000000000004,57.16501680859268,0.7803189909083466,0.0576931550338136,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-05_DLPFC_active_ave.fif,DLPFC_active,True,,0.5797521342743883,9,8,128
5,dlpfc,sham,early,0.015,0.08,0.7853079166682229,112.05612224794515,23.254978534866503,0.2652891749974495,20.00000000000005,62.01695238431135,0.5145698163174739,0.0857613128576978,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-05_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.5086067859227109,8,8,128
5,m1,active,early,0.015,0.08,0.545611811277025,80.20283785509717,19.7805706843952,-0.2409851800481281,20.00000000001207,53.35333451105546,0.5232615631050404,0.084990056182655,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-05_M1_active_ave.fif,M1_active,True,,0.7297096807822956,9,8,128
5,m1,sham,early,0.015,0.08,0.9524079116718448,98.395107798108,23.9214732387899,-0.5714447470031069,44.59264991565905,110.55500359543484,0.860179776919072,0.0460270380157253,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-05_M1_sham_ave.fif,M1_sham,True,,1.0507731076741444,24,8,128
5,ppc,active,early,0.015,0.08,0.5293624409624343,80.73611234762134,19.28874810604689,-0.2382166979048231,20.00000000000233,53.30957967134893,0.5071400840138585,0.0864151287949395,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-05_PPC_active_ave.fif,PPC_active,True,,0.6036358042248405,8,8,128
5,ppc,sham,early,0.015,0.08,0.7796370277342047,88.03157449327722,19.67458290790323,-0.2575309211390049,20.000000000000018,54.26290036112296,0.6345625083389015,0.0744105616955037,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-05_PPC_sham_ave.fif,PPC_sham,True,,0.7164363913724374,10,8,128
6,dlpfc,active,early,0.015,0.08,0.8648219667438424,129.04612162427136,24.54270990676683,-0.5188931800758634,42.18402794583287,104.3103530314816,0.670114151054316,0.0706984472147441,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-06_DLPFC_active_ave.fif,DLPFC_active,True,,0.8809307680997147,14,8,128
6,dlpfc,sham,early,0.015,0.08,0.8796779470204371,81.89102303330215,16.200445147332633,0.5278067682123024,49.65291048845477,114.72251622326937,0.6268283494667668,0.0751938555812631,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-06_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.8636219292829432,14,9,128
6,m1,active,early,0.015,0.08,0.5402455967735258,80.56645214840746,18.94346773686027,-0.2317126231074064,20.00000000080099,53.22794450846328,0.4946071112106649,0.0875069597915919,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-06_M1_active_ave.fif,M1_active,True,,0.4546688307429619,9,8,128
