subject,site,cond,channel,mi_early_late_bits,reason,resample_n
1,m1,sham,P7,0.6169952617737985,ok,128
1,m1,sham,P8,0.5316614423042825,ok,128
1,m1,sham,Fz,0.703257771177616,ok,128
1,m1,sham,Cz,0.480047822915869,ok,128
1,m1,sham,Pz,0.6914484786892346,ok,128
1,m1,sham,Iz,0.6029307102406346,ok,128
1,m1,sham,FC1,0.6986559825510845,ok,128
1,m1,sham,FC2,0.5610446068784756,ok,128
1,m1,sham,CP1,0.716064671664433,ok,128
1,m1,sham,CP2,0.555444552899262,ok,128
1,m1,sham,FC5,0.7951603998151966,ok,128
1,m1,sham,FC6,0.6750309608766625,ok,128
1,m1,sham,CP5,0.5973976598173927,ok,128
1,m1,sham,CP6,0.7112242975821392,ok,128
1,m1,sham,TP9,0.7247571237652836,ok,128
1,m1,sham,TP10,0.5697713080130695,ok,128
1,ppc,active,Fp1,0.662254024139125,ok,128
1,ppc,active,Fp2,0.8290612248235878,ok,128
1,ppc,active,F3,0.6497867473918978,ok,128
1,ppc,active,F4,0.7014078343624068,ok,128
1,ppc,active,C3,0.654366220068147,ok,128
1,ppc,active,C4,0.5961911518295285,ok,128
1,ppc,active,P3,0.6529743713231277,ok,128
1,ppc,active,P4,0.7266465396782879,ok,128
1,ppc,active,O1,0.6642046770343604,ok,128
1,ppc,active,O2,0.6436414988653023,ok,128
1,ppc,active,F7,0.5757610607835612,ok,128
1,ppc,active,F8,0.7084079736662593,ok,128
1,ppc,active,T7,0.7043464119408577,ok,128
1,ppc,active,T8,0.6475989794625269,ok,128
1,ppc,active,P7,0.5894118509402325,ok,128
1,ppc,active,P8,0.46698802518740073,ok,128
1,ppc,active,Fz,0.5474574763882597,ok,128
1,ppc,active,Cz,0.6228742646403228,ok,128
1,ppc,active,Pz,0.6760297600799161,ok,128
1,ppc,active,Iz,0.5934031385354598,ok,128
1,ppc,active,FC1,0.5424341413000404,ok,128
1,ppc,active,FC2,0.5930461710143009,ok,128
1,ppc,active,CP1,0.6399531273563731,ok,128
1,ppc,active,CP2,0.7257222251575525,ok,128
1,ppc,active,FC5,0.593500675435324,ok,128
1,ppc,active,FC6,0.6242352858698261,ok,128
1,ppc,active,CP5,0.7019930332672046,ok,128
1,ppc,active,CP6,0.6098636906166779,ok,128
1,ppc,active,TP9,0.684003576069527,ok,128
1,ppc,active,TP10,0.8528033653015639,ok,128
1,ppc,sham,Fp1,0.7767431006852434,ok,128
1,ppc,sham,Fp2,0.6799623011797564,ok,128
1,ppc,sham,F3,0.738508991331934,ok,128
1,ppc,sham,F4,0.6355777092020862,ok,128
1,ppc,sham,C3,0.6133194187601565,ok,128
1,ppc,sham,C4,0.6687722959468185,ok,128
1,ppc,sham,P3,0.645912212370406,ok,128
1,ppc,sham,P4,0.6412633530195732,ok,128
1,ppc,sham,O1,0.6660875996756952,ok,128
1,ppc,sham,O2,0.7859768576149126,ok,128
1,ppc,sham,F7,0.7129454724979678,ok,128
1,ppc,sham,F8,0.691324866836714,ok,128
1,ppc,sham,T7,0.7277702916914608,ok,128
1,ppc,sham,T8,0.6943510905086708,ok,128
1,ppc,sham,P7,0.6070818663827569,ok,128
1,ppc,sham,P8,0.6705214910538102,ok,128
1,ppc,sham,Fz,0.6723362773457267,ok,128
1,ppc,sham,Cz,0.6727546081898853,ok,128
1,ppc,sham,Pz,0.6228020821104523,ok,128
1,ppc,sham,Iz,0.6687953104432907,ok,128
1,ppc,sham,FC1,0.7790815944034782,ok,128
1,ppc,sham,FC2,0.684575862742142,ok,128
1,ppc,sham,CP1,0.6647640518746084,ok,128
1,ppc,sham,CP2,0.6903610242614782,ok,128
1,ppc,sham,FC5,0.7005057369566167,ok,128
1,ppc,sham,FC6,0.6560379468836488,ok,128
1,ppc,sham,CP5,0.7786084541652911,ok,128
1,ppc,sham,CP6,0.6764578764035091,ok,128
1,ppc,sham,TP9,0.7055622390135025,ok,128
1,ppc,sham,TP10,0.6323375222028284,ok,128
2,dlpfc,active,Fp1,0.7998312674298897,ok,128
2,dlpfc,active,Fp2,0.7468393683345312,ok,128
