site,channel,n_subjects,mean_diff_active_minus_sham,median_diff_active_minus_sham,t,p_t,W,p_wilcoxon,q_t_site,q_t_global
dlpfc,C3,20,0.05721714127092463,0.0707490044180955,1.1710133036923864,0.25607078490292134,65.0,0.14290618896484375,0.67066621076396,0.843741361928853
dlpfc,C4,20,-0.058559646370735144,-0.059921912067412486,-1.2674573980375998,0.2203062346679742,72.0,0.2305126190185547,0.67066621076396,0.843741361928853
dlpfc,CP1,20,0.002092296482981218,-0.03056034141881986,0.03885014986692967,0.9694151747035855,102.0,0.9272785186767578,0.991171277165846,0.9935318937735861
dlpfc,CP2,20,-0.03631667840576032,0.024248684812443633,-0.8488531306353196,0.40653126076294144,91.0,0.6215133666992188,0.8422519628473722,0.9382721560514062
dlpfc,CP5,20,-0.04777095562005874,-0.054505644839195455,-1.3671623902169217,0.1875327465737977,65.0,0.14290618896484375,0.67066621076396,0.843741361928853
dlpfc,CP6,20,-0.006016882293599588,0.015552671032292353,-0.16148609353535295,0.8734153783124832,105.0,1.0,0.991171277165846,0.9935318937735861
dlpfc,Cz,20,0.003510107937691992,-0.02471351605433053,0.08417064514841403,0.9338012975306981,102.0,0.9272785186767578,0.991171277165846,0.9935318937735861
dlpfc,F3,20,0.04736713134266639,0.02635095561762793,0.7796630646360172,0.44519322426349917,85.0,0.47490501403808594,0.8422519628473722,0.9382721560514062
dlpfc,F4,20,-0.0631167645639553,-0.06352258760226168,-1.3108651056157097,0.2055271931116975,58.0,0.082550048828125,0.67066621076396,0.843741361928853
dlpfc,F7,20,-0.0020818084826169842,-0.010629720892879169,-0.08075308023003692,0.9364828778689498,95.0,0.7285060882568359,0.991171277165846,0.9935318937735861
dlpfc,F8,20,0.04288526476937613,-0.027591027471427054,0.590976604621392,0.5615013085649149,99.0,0.8408222198486328,0.8422519628473722,0.9382721560514062
dlpfc,FC1,20,0.056420024439266095,0.019268524857980196,1.1286865513257411,0.27308043739716975,77.0,0.3117942810058594,0.67066621076396,0.843741361928853
dlpfc,FC2,20,-0.0019268873908451722,-0.03247745586441869,-0.031344836368674946,0.975321461036659,85.0,0.47490501403808594,0.991171277165846,0.9935318937735861
dlpfc,FC5,20,0.017157035001166426,0.021026030352205516,0.3937834191622932,0.6981252439484567,94.0,0.7011814117431641,0.8726565549355708,0.9389350093130219
dlpfc,FC6,20,-0.04001802140829082,-0.04720669733641103,-1.1340686737198526,0.2708722532557959,73.0,0.24548721313476562,0.67066621076396,0.843741361928853
dlpfc,Fp1,20,0.04684228499803881,-0.04237180401683577,0.5478408307583703,0.5901799625423738,103.0,0.956329345703125,0.8431142322033912,0.9382721560514062
dlpfc,Fp2,20,-0.027097564676142067,-0.10444026357153091,-0.5961628347417364,0.5581028319221795,76.0,0.2942523956298828,0.8422519628473722,0.9382721560514062
dlpfc,Fz,20,-0.02134374161889884,-0.015028393574871013,-0.46955744354664825,0.6440151514605805,93.0,0.6742229461669922,0.8726565549355708,0.9389350093130219
dlpfc,Iz,20,0.049339743111601345,0.05606388037281007,1.2804365727768632,0.21580317642486935,75.0,0.2773551940917969,0.67066621076396,0.843741361928853
dlpfc,O1,20,-0.10515724179894322,-0.11188519393683588,-2.0121293715955786,0.058603268440764134,50.0,0.039989471435546875,0.5927021397056802,0.843741361928853
dlpfc,O2,20,0.04431232705839232,0.0033766002833457986,0.7022341521470414,0.4910473580765994,97.0,0.7841262817382812,0.8422519628473722,0.9382721560514062
dlpfc,P3,20,-0.03586301617080685,-0.13053470303532216,-0.6469512842941484,0.525403002429727,68.0,0.17685317993164062,0.8422519628473722,0.9382721560514062
dlpfc,P4,20,0.01612637373025328,-0.011766965088568615,0.42009183184021137,0.6791308884496183,103.0,0.956329345703125,0.8726565549355708,0.9389350093130219
dlpfc,P7,20,-0.0006025679883456924,-0.07139642929619061,-0.011211898842278347,0.991171277165846,86.0,0.49800872802734375,0.991171277165846,0.9935318937735861
dlpfc,P8,20,0.09109326394183373,0.05651314575870925,2.0063139869133355,0.05927021397056802,64.0,0.13272666931152344,0.5927021397056802,0.843741361928853
dlpfc,Pz,20,-0.07606627035411355,-0.05728218407275293,-2.1789967309894953,0.042124583133713776,56.0,0.069580078125,0.5927021397056802,0.843741361928853
dlpfc,T7,20,-0.030148070963954464,-0.03527921043869636,-0.7365343959739588,0.47040271017420143,76.0,0.2942523956298828,0.8422519628473722,0.9382721560514062
dlpfc,T8,20,0.04765149660338253,0.04326224161209874,1.087029928312464,0.2906220246643827,81.0,0.38837623596191406,0.67066621076396,0.843741361928853
dlpfc,TP10,20,0.08528030133229415,0.11519110123161563,1.649548766765288,0.11547043979923799,54.0,0.058258056640625,0.67066621076396,0.843741361928853
dlpfc,TP9,20,-0.04071023906304732,-0.03998640158378847,-1.089049811710572,0.28975295486015434,76.0,0.2942523956298828,0.67066621076396,0.843741361928853
m1,C3,20,-0.06404097357150718,-0.020264696113268643,-1.7938761802356316,0.08876402720765389,64.0,0.13272666931152344,0.7894729630030922,0.843741361928853
m1,C4,20,-0.021830980398270066,-0.056091031035490624,-0.6198195912624859,0.5427391623986045,78.0,0.3299827575683594,0.8761229918127975,0.9382721560514062
m1,CP1,20,-0.022261167399956455,-0.019737207577347204,-0.8867778281792439,0.3862857500227189,84.0,0.4523754119873047,0.8761229918127975,0.9382721560514062
m1,CP2,20,0.014017232614005679,0.011792447092900726,0.4513014211209069,0.6568810759207152,95.0,0.7285060882568359,0.8761229918127975,0.9389350093130219
m1,CP5,20,-0.03079531112411083,0.014888545125135322,-0.842926837937789,0.4097557633684348,91.0,0.6215133666992188,0.8761229918127975,0.9382721560514062
m1,CP6,20,-0.013290153277615591,-0.028551891632037862,-0.41885095731964306,0.6800219790064569,93.0,0.6742229461669922,0.8761229918127975,0.9389350093130219
m1,Cz,20,-0.07862376536393265,-0.059024672089746766,-1.8671168907575355,0.07739294799968954,59.0,0.08969497680664062,0.7894729630030922,0.843741361928853
m1,F3,20,-0.024248085118592506,-0.05345220738726997,-0.6212352320177369,0.5418270525942803,84.0,0.4523754119873047,0.8761229918127975,0.9382721560514062
m1,F4,20,-0.011913715721926111,-0.029462548157632662,-0.31084003580692077,0.7593065929044245,81.0,0.38837623596191406,0.8761229918127975,0.9389350093130219
m1,F7,20,-0.03944826575387027,0.007335801064529079,-1.0640326396622912,0.3006504917887113,83.0,0.4304332733154297,0.8620632208461533,0.8455795081557504
m1,F8,20,0.03969444474195264,0.02748800692027148,1.0296817956699946,0.31608984764358955,87.0,0.5216732025146484,0.8620632208461533,0.8620632208461533
m1,FC1,20,0.0036971623560030503,-0.004633395795721418,0.1587596911998326,0.8755335517105753,103.0,0.956329345703125,0.9451038868382924,0.9935318937735861
m1,FC2,20,0.005028873366371625,-0.03730642215829094,0.15031938794491517,0.8820969610490729,104.0,0.9854354858398438,0.9451038868382924,0.9935318937735861
m1,FC5,20,-0.014220767526386712,-0.021453447964306815,-0.3136480399040026,0.7572057307895083,94.0,0.7011814117431641,0.8761229918127975,0.9389350093130219
m1,FC6,20,-0.035605563538882376,-0.044982815301889856,-1.4920060333253091,0.15211575116243778,58.0,0.082550048828125,0.7894729630030922,0.843741361928853
m1,Fp1,20,-0.04181353982386561,-0.04082422521140838,-1.5372428017220696,0.14072077946645592,69.0,0.1893482208251953,0.7894729630030922,0.843741361928853
m1,Fp2,20,-0.04266667473322979,-0.03941381557595608,-1.461554583139345,0.16020582174963183,76.0,0.2942523956298828,0.7894729630030922,0.843741361928853
m1,Fz,20,-0.01494842553518833,-0.027802093227813185,-0.4481148485523725,0.6591382737182047,84.0,0.4523754119873047,0.8761229918127975,0.9389350093130219
m1,Iz,20,-0.00039327062417530143,0.016612917152072915,-0.00821398668337105,0.9935318937735861,96.0,0.7561664581298828,0.9935318937735861,0.9935318937735861
m1,O1,20,-0.04314281649070394,-0.0766193799097567,-1.1399303613043523,0.2684823829595646,74.0,0.26109886169433594,0.8620632208461533,0.843741361928853
m1,O2,20,0.01391075396173574,0.060324188091959496,0.3662877492320093,0.718197350437978,92.0,0.6476554870605469,0.8761229918127975,0.9389350093130219
m1,P3,20,-0.05406221359371144,-0.05034216731040286,-1.7582266236074235,0.09480728181287594,58.0,0.082550048828125,0.7894729630030922,0.843741361928853
m1,P4,20,-0.012498870627330743,-0.03870071605998532,-0.32058043245039797,0.752027453401747,84.0,0.4523754119873047,0.8761229918127975,0.9389350093130219
