site,cond,window,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_subjects
dlpfc,active,15-80ms,0.48601248973221134,70.78816996588404,15.69310674979788,0.2230137744716251,20.000000000000004,61.452903203465794,0.8127521467790988,0.04410900582086194,20
dlpfc,sham,15-80ms,0.3949068974809419,72.83073223913804,15.973479000241454,0.17720007777600535,20.000000000000004,61.39615223107664,0.7406233304816533,0.042802901077780175,20
m1,active,15-80ms,0.4193953541154019,70.155683666944,18.155274584349804,-0.20662086505225283,20.000000000000004,52.73462771212623,0.43597813240976957,0.08980286508945333,20
m1,sham,15-80ms,0.4173373421652359,73.94857332855545,18.94686351272868,-0.20491056830783427,20.000000000000004,52.87664848690357,0.4290198130364351,0.0883618264705786,20
ppc,active,15-80ms,0.6631465935834975,89.14612421354896,19.892380480172303,-0.23115069483449827,20.000000000000004,53.736435039606974,0.5752586569578461,0.07443847552219969,20
ppc,sham,15-80ms,0.4112436146476123,77.35336177657668,18.633007959971902,-0.19648459694139817,20.000000002736037,52.97250143401079,0.4422415768599137,0.08182034999670335,20
